Unnamed: 0,date,pm10,traffic,wind
346,2018-12-12,42,11559816.14,40
347,2018-12-13,35,11009836.16,16
348,2018-12-14,58,11608608.77,34
349,2018-12-15,56,11228194.12,11
350,2018-12-16,67,11228194.12,32
351,2018-12-17,52,11842143.53,29
352,2018-12-18,56,11651361,20
353,2018-12-19,62,11700432.07,37
354,2018-12-20,72,11260659.52,12
355,2018-12-21,78,11750420.06,13
356,2018-12-22,54,11305787.5,30
357,2018-12-23,25,9935640.165,35
358,2018-12-24,39,11343869.41,35
359,2018-12-25,52,9809843.743,4
360,2018-12-26,30,11471867.02,37
361,2018-12-27,40,11569956.75,36
362,2018-12-28,43,11665137.45,39
363,2018-12-29,36,10886975.14,43
364,2018-12-30,37,9614280.454,26
365,2018-12-31,40,11116160.2,20
