Unnamed: 0,date,pm10,traffic,wind
277,2018-10-04,11,11821453,0
278,2018-10-05,7,11658131,0
279,2018-10-06,29,10866405,7
280,2018-10-07,24,10334158,34
281,2018-10-08,29,11686317,21
282,2018-10-09,22,10732206,0
283,2018-10-10,19,11730934,21
284,2018-10-11,26,11906706,29
285,2018-10-12,35,12119408,17
286,2018-10-13,40,11749427,10
287,2018-10-14,61,10639876,20
288,2018-10-15,53,11605912,24
289,2018-10-16,40,11898610,30
290,2018-10-17,16,11890837,25
291,2018-10-18,20,11696730,0
292,2018-10-19,43,12018465,26
293,2018-10-20,41,11652084,21
294,2018-10-21,53,10699784,18
295,2018-10-22,52,11435959,9
296,2018-10-23,48,11784474,10
297,2018-10-24,43,11912438,27
298,2018-10-25,40,12074099,10
299,2018-10-26,30,11845803,20
300,2018-10-27,15,11789380,45
301,2018-10-28,18,10354756,5
302,2018-10-29,23,11723323,29
303,2018-10-30,23,11819041,36
304,2018-10-31,38,11795977,31
305,2018-11-01,48,11925170,17
306,2018-11-02,59,12000120,18
307,2018-11-03,48,11673980,19
308,2018-11-04,63,10644275,20
309,2018-11-05,88,11572876,21
310,2018-11-06,64,11716395,18
311,2018-11-07,9,11648787,8
312,2018-11-08,40,11328334,5
313,2018-11-09,71,11884597,40
314,2018-11-10,66,12243921,32
315,2018-11-11,33,11209568,6
316,2018-11-12,45,11808435,21
317,2018-11-13,38,11836912,20
318,2018-11-14,54,11844654,12
319,2018-11-15,60,11821147,13
320,2018-11-16,36,11915201,25
321,2018-11-17,41,11586887,35
322,2018-11-18,60,10436061,19
323,2018-11-19,50,11489214,18
324,2018-11-20,38,11686778,18
325,2018-11-21,24,11631788,11
326,2018-11-22,24,11727263,33
327,2018-11-23,24,11906204,24
328,2018-11-24,47,10720891,0
329,2018-11-25,62,10317246,4
330,2018-11-26,97,11382898,4
331,2018-11-27,100,11588728,13
332,2018-11-28,71,11707271,34
333,2018-11-29,60,11703663,15
334,2018-11-30,51,11974395,26
335,2018-12-01,54,11553514,12
336,2018-12-02,47,10389680,0
337,2018-12-03,37,10939163,12
338,2018-12-04,32,11510819,40
339,2018-12-05,41,11571283,17
340,2018-12-06,26,11653187,33
341,2018-12-07,26,11837109,35
342,2018-12-08,24,11168585,28
343,2018-12-09,36,9753988,28
344,2018-12-10,44,11211558,12
345,2018-12-11,48,11322591,9
346,2018-12-12,42,11559816,40
347,2018-12-13,35,11009836,16
348,2018-12-14,58,11608608,34
349,2018-12-15,56,11228194,11
350,2018-12-16,67,11228194,32
351,2018-12-17,52,11842143,29
352,2018-12-18,56,11651361,20
353,2018-12-19,62,11700432,37
354,2018-12-20,72,11260659,12
355,2018-12-21,78,11750420,13
356,2018-12-22,54,11305787,30
357,2018-12-23,25,9935640,35
358,2018-12-24,39,11343869,35
359,2018-12-25,52,9809843,4
360,2018-12-26,30,11471867,37
361,2018-12-27,40,11569956,36
362,2018-12-28,43,11665137,39
363,2018-12-29,36,10886975,43
364,2018-12-30,37,9614280,26
365,2018-12-31,40,11116160,20
366,2019-01-01,37,7942740,40
367,2019-01-02,40,9973083,39
368,2019-01-03,60,10387190,36
369,2019-01-04,61,10548362,17
370,2019-01-05,52,9888232,35
371,2019-01-06,56,8699119,27
372,2019-01-07,46,10182944,28
373,2019-01-08,53,10418861,36
374,2019-01-09,58,10356319,21
375,2019-01-10,70,10467823,28
376,2019-01-11,81,10617363,16
377,2019-01-12,90,9943053,26
378,2019-01-13,118,8523613,31
379,2019-01-14,104,10003083,17
380,2019-01-15,50,10347697,40
381,2019-01-16,47,10379391,31
382,2019-01-17,54,10427347,26
383,2019-01-18,81,10675257,33
384,2019-01-19,65,10008587,14
385,2019-01-20,47,8795775,45
386,2019-01-21,66,10183469,22
387,2019-01-22,69,10461373,21
388,2019-01-23,47,10512509,39
389,2019-01-24,50,10628513,34
390,2019-01-25,48,10827264,38
391,2019-01-26,41,10165639,31
392,2019-01-27,74,8806020,24
393,2019-01-28,67,10347283,32
394,2019-01-29,62,10654915,27
395,2019-01-30,69,10717026,26
396,2019-01-31,43,10789126,41
397,2019-02-01,57,10748868,31
398,2019-02-02,39,9387306,3
399,2019-02-03,67,7775197,16
400,2019-02-04,73,7602482,35
401,2019-02-05,80,9105037,11
402,2019-02-06,59,7804367,14
403,2019-02-07,35,10024774,41
